name,province,country,lat,lon,population,id
Indian Brook,Nova Scotia,Canada,45.0867613,-63.4819262,2332,1
Granville Ferry,Nova Scotia,Canada,44.757391,-65.512286,152,2
Sydney River,Nova Scotia,Canada,46.1054345,-60.2267256,455,3
Lawrencetown,Nova Scotia,Canada,44.6756164,-63.3975707,636,4
Wolfville,Nova Scotia,Canada,45.0917657,-64.3597572,5057,5
Elmsdale,Nova Scotia,Canada,44.971111,-63.506667,413,6
Falmouth,Nova Scotia,Canada,44.998581,-64.161619,1553,7
Stewiacke,Nova Scotia,Canada,45.1387487,-63.3496725,1557,8
Antigonish,Nova Scotia,Canada,45.616667,-61.983333,5620,9
Parrsboro,Nova Scotia,Canada,45.4056589,-64.3258874,1327,10
Halifax,Nova Scotia,Canada,44.65107,-63.582687,348634,11
Little Bras D'or,Nova Scotia,Canada,46.250831,-60.28885,148,12
Eskasoni,Nova Scotia,Canada,45.948514,-60.6011523,2575,13
Guysborough,Nova Scotia,Canada,45.3906075,-61.4989627,397,14
Tower Road,Nova Scotia,Canada,46.1565448,-59.9559708,295,15
Sambro,Nova Scotia,Canada,44.4785662,-63.6048995,432,16
Annapolis Royal,Nova Scotia,Canada,44.7439614,-65.5196358,530,17
Black Point,Nova Scotia,Canada,44.651583,-63.98075,486,18
Edwardsville,Nova Scotia,Canada,46.166872,-60.235461,287,19
St. Margaret's Bay,Nova Scotia,Canada,44.682978,-63.916746,840,20
Sandy Point,Nova Scotia,Canada,43.7,-65.316667,369,21
Lunenburg,Nova Scotia,Canada,44.4261574,-64.6186263,2405,22
Hubbards,Nova Scotia,Canada,44.6426442,-64.0542576,387,23
Fall River,Nova Scotia,Canada,44.826319,-63.608056,2474,24
Kentville,Nova Scotia,Canada,45.0771182,-64.4942826,6630,25
Whycocomagh,Nova Scotia,Canada,45.9751009,-61.1215811,877,26
Waverley,Nova Scotia,Canada,44.772778,-63.578056,858,27
Yarmouth,Nova Scotia,Canada,43.83345,-66.11557,7848,28
Dartmouth,Nova Scotia,Canada,44.6660885,-63.5675632,96165,29
Hants Border,Nova Scotia,Canada,45.0713397,-64.1936423,408,30
Bible Hill,Nova Scotia,Canada,45.371998,-63.256165,5076,31
Kingston-Greenwood,Nova Scotia,Canada,44.9916902,-64.9394056,7118,32
River Hebert,Nova Scotia,Canada,45.690225,-64.377982,468,33
Bridgewater,Nova Scotia,Canada,44.3795966,-64.5213299,8790,34
Middleton,Nova Scotia,Canada,44.9455192,-65.0700472,1429,35
Mahone Bay,Nova Scotia,Canada,44.4492264,-64.3822793,1064,36
Centreville,Nova Scotia,Canada,45.133881,-64.528536,1159,37
Sydney,Nova Scotia,Canada,46.136389,-60.195556,30960,38
Bridgetown,Nova Scotia,Canada,44.841389,-65.289444,970,39
Boutlier's Point,Nova Scotia,Canada,44.659444,-63.952778,781,40
Cornwallis Park,Nova Scotia,Canada,44.65,-65.633,488,41
Prime Brook,Nova Scotia,Canada,46.1079497,-60.2016375,186,42
Truro,Nova Scotia,Canada,45.3646224,-63.2765061,23583,43
Donkin,Nova Scotia,Canada,46.181642,-59.872828,532,44
Pugwash,Nova Scotia,Canada,45.8507229,-63.6602631,746,45
Port Hastings,Nova Scotia,Canada,45.6525872,-61.4029339,90,46
Mabou,Nova Scotia,Canada,46.071944,-61.391667,1166,47
Wedgeport,Nova Scotia,Canada,43.735176,-65.980349,1071,48
New Glasgow,Nova Scotia,Canada,45.5871993,-62.6451868,19316,49
Chester,Nova Scotia,Canada,44.54246479,-64.23855348,1371,50
River Ryan,Nova Scotia,Canada,46.2233392,-60.086301,239,51
Aylesford,Nova Scotia,Canada,45.033333,-64.833333,834,52
Milton,Nova Scotia,Canada,44.0607144,-64.7506897,999,53
Peggy's Cove,Nova Scotia,Canada,44.492778,-63.9175,76,54
Amherst,Nova Scotia,Canada,45.8344395,-64.2123394,9548,55
Liverpool,Nova Scotia,Canada,44.0329772,-64.7176783,2546,56
Port Hawkesbury,Nova Scotia,Canada,45.615278,-61.364167,3210,57
Brookside,Nova Scotia,Canada,44.5480794,-63.721634,1439,58
Fl,,,,,,
